sample	group	seqs_pct	seqs	bases_pct	bases
smart9nspike/tag/neb+rlb/3	unclassified	85.51	940201	71.24	195870247
smart9nspike/tag/neb+rlb/3	human	14.06	154602	28.04	77085086
smart9nspike/tag/neb+rlb/3	bacteria	0.33	3596	0.53	1461915
smart9nspike/tag/neb+rlb/3	rna-viruses	0.06	633	0.10	288493
smart9nspike/tag/neb+rlb/3	dna-viruses	0.02	244	0.04	112668
smart9nspike/tag/neb+rlb/3	ambiguous	0.02	201	0.05	127563
smart9nspike/tag/neb+rlb/neg	human	84.02	1036	91.00	829189
smart9nspike/tag/neb+rlb/neg	unclassified	13.38	165	5.15	46938
smart9nspike/tag/neb+rlb/neg	rna-viruses	1.30	16	2.23	20331
smart9nspike/tag/neb+rlb/neg	bacteria	0.81	10	0.98	8955
smart9nspike/tag/neb+rlb/neg	dna-viruses	0.24	3	0.33	3032
smart9nspike/tag/neb+rlb/neg	ambiguous	0.24	3	0.30	2736
roundacleanup/tag/neb/1/clean	unclassified	99.93	1254637	99.79	117796686
roundacleanup/tag/neb/1/clean	rna-viruses	0.04	490	0.11	127410
roundacleanup/tag/neb/1/clean	human	0.02	227	0.06	66405
roundacleanup/tag/neb/1/clean	bacteria	0.01	88	0.03	41270
roundacleanup/tag/neb/1/clean	dna-viruses	0.00	13	0.01	7341
roundacleanup/tag/neb/1/clean	ambiguous	0.00	0	0.00	0
roundacleanup/tag/neb/2/clean	unclassified	99.93	1480149	99.76	137406231
roundacleanup/tag/neb/2/clean	rna-viruses	0.04	625	0.11	144633
roundacleanup/tag/neb/2/clean	human	0.02	346	0.08	113477
roundacleanup/tag/neb/2/clean	bacteria	0.01	76	0.03	46870
roundacleanup/tag/neb/2/clean	dna-viruses	0.00	50	0.02	24124
roundacleanup/tag/neb/2/clean	ambiguous	0.00	2	0.00	2931
roundacleanup/tag/neb/3/clean	unclassified	99.64	816896	99.30	77589605
roundacleanup/tag/neb/3/clean	human	0.25	2072	0.45	354310
roundacleanup/tag/neb/3/clean	bacteria	0.06	529	0.12	94028
roundacleanup/tag/neb/3/clean	rna-viruses	0.04	322	0.11	86598
roundacleanup/tag/neb/3/clean	ambiguous	0.00	21	0.00	2873
roundacleanup/tag/neb/3/clean	dna-viruses	0.00	17	0.01	10817
roundacleanup/tag/neb/1	unclassified	88.52	3663868	73.56	370747082
roundacleanup/tag/neb/1	human	6.17	255225	14.16	71352729
roundacleanup/tag/neb/1	bacteria	2.49	103196	5.72	28826547
roundacleanup/tag/neb/1	rna-viruses	1.61	66459	3.42	17237708
roundacleanup/tag/neb/1	dna-viruses	1.20	49469	3.04	15302861
roundacleanup/tag/neb/1	ambiguous	0.03	1039	0.11	559927
